Sale_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Region,State,Salesperson,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Order_Status,Shipping_Days
10001,01-01-2023,C005,Arjun,P107,Mixer,Home Appliances,Kitchen,North,Delhi,Kiran,5,4392,10,19764,14392.41,5371.59,UPI,Delivered,1
10002,01-01-2023,C014,Harsha,P107,Mixer,Home Appliances,Kitchen,North,Delhi,Kiran,1,5328,15,4528.8,2776.17,1752.63,UPI,Delivered,6
10003,01-01-2023,C019,Rohan,P101,Laptop,Electronics,Laptop,West,Maharashtra,Rahul,2,54295,20,86872,68530.11,18341.89,Card,Delivered,5
10004,01-01-2023,C004,Anjali,P110,Tshirt,Fashion,Clothing,East,West Bengal,Rahul,1,1591,20,1272.8,942.59,330.21,UPI,Cancelled,6
10005,01-01-2023,C003,Kiran,P110,Tshirt,Fashion,Clothing,North,Delhi,Rahul,4,1793,20,5737.6,3982.3,1755.3,Card,Cancelled,4
10006,01-01-2023,C012,Divya,P105,Table,Furniture,Table,South,Telangana,Priya,2,11367,20,18187.2,12113.67,6073.53,Card,Returned,3
10007,02-01-2023,C003,Kiran,P102,Mobile,Electronics,Mobile,West,Maharashtra,Pooja,3,21511,15,54853.05,38000.75,16852.3,UPI,Cancelled,5
10008,02-01-2023,C011,Suresh,P106,Sofa,Furniture,Sofa,East,Odisha,Amit,5,30832,15,131036,80603.89,50432.11,Card,Returned,6
10009,02-01-2023,C003,Kiran,P101,Laptop,Electronics,Laptop,East,Odisha,Rahul,3,55667,15,141950.85,112872.06,29078.79,UPI,Returned,3
10010,02-01-2023,C006,Pooja,P110,Tshirt,Fashion,Clothing,North,Punjab,Sneha,1,846,10,761.4,478.51,282.89,Card,Returned,7
10011,02-01-2023,C016,Manoj,P102,Mobile,Electronics,Mobile,South,Karnataka,Priya,4,22325,10,80370,63841.46,16528.54,Cash,Delivered,6
10012,02-01-2023,C014,Harsha,P106,Sofa,Furniture,Sofa,West,Maharashtra,Pooja,2,29369,5,55801.1,35338.04,20463.06,UPI,Delivered,4
10013,02-01-2023,C019,Rohan,P103,Headphones,Electronics,Accessories,East,Odisha,Kiran,1,1998,15,1698.3,1218.72,479.58,Cash,Delivered,2
10014,02-01-2023,C017,Asha,P110,Tshirt,Fashion,Clothing,North,Punjab,Amit,5,1203,15,5112.75,3516.42,1596.33,Card,Returned,1
10015,03-01-2023,C003,Kiran,P104,Chair,Furniture,Chair,West,Maharashtra,Amit,1,6896,20,5516.8,3373.89,2142.91,Cash,Delivered,5
10016,03-01-2023,C004,Anjali,P106,Sofa,Furniture,Sofa,North,Delhi,Rahul,2,30457,15,51776.9,32758.27,19018.63,Card,Cancelled,3
10017,03-01-2023,C016,Manoj,P102,Mobile,Electronics,Mobile,North,Punjab,Sneha,4,22183,15,75422.2,50427.85,24994.35,UPI,Delivered,6
10018,03-01-2023,C009,Ravi,P108,Microwave,Home Appliances,Kitchen,South,Telangana,Pooja,2,13147,20,21035.2,14295.22,6739.98,Cash,Delivered,7
10019,03-01-2023,C017,Asha,P105,Table,Furniture,Table,North,Punjab,Sneha,5,11951,5,56767.25,38502.57,18264.68,Cash,Cancelled,7
